Id,Name,FullyQualifiedName,Sku,Type,Description,Active,Taxable,IncomeAccountRef_value,IncomeAccountRef_name,IncomeAccountNum,ExpenseAccountRef_value,ExpenseAccountRef_name,ExpenseAccountNum,PrimaryEntity,TrackQtyOnHand,domain,sparse,SyncToken,MetaData_CreateTime
4000,Freight Brokerage - Standard,Freight Brokerage - Standard,FRT-BRK-STD,Service,Freight Brokerage - Standard,True,True,1033,Revenue - Freight Brokerage,4000,1044,COGS - Purchased Transportation,5000,MLG,False,QBO,False,0,2024-06-25T09:00:00-07:00
4001,Freight Brokerage - International,Freight Brokerage - International,FRT-BRK-INT,Service,Freight Brokerage - International,True,False,1033,Revenue - Freight Brokerage,4000,1044,COGS - Purchased Transportation,5000,NWC,False,QBO,False,0,2024-06-25T09:00:00-07:00
4002,Port Drayage Program,Port Drayage Program,SVC-DRAY,Service,Port Drayage Program,True,False,1033,Revenue - Freight Brokerage,4000,1045,COGS - Owner Operator Settlements,5010,NWC,False,QBO,False,0,2024-06-25T09:00:00-07:00
4003,Intermodal Rail Program,Intermodal Rail Program,SVC-RAIL,Service,Intermodal Rail Program,True,True,1033,Revenue - Freight Brokerage,4000,1044,COGS - Purchased Transportation,5000,CFS,False,QBO,False,0,2024-06-25T09:00:00-07:00
4004,Flatbed & Oversize Transport,Flatbed & Oversize Transport,SVC-FLAT,Service,Flatbed & Oversize Transport,True,True,1033,Revenue - Freight Brokerage,4000,1044,COGS - Purchased Transportation,5000,CFS,False,QBO,False,0,2024-06-25T09:00:00-07:00
4005,Refrigerated Truckload,Refrigerated Truckload,SVC-REEF,Service,Refrigerated Truckload,True,True,1033,Revenue - Freight Brokerage,4000,1046,COGS - Fuel,5020,CFS,False,QBO,False,0,2024-06-25T09:00:00-07:00
4006,Dedicated Fleet - Monthly Contract,Dedicated Fleet - Monthly Contract,DED-FLT-MO,Service,Dedicated Fleet - Monthly Contract,True,True,1034,Revenue - Dedicated Fleet,4010,1047,COGS - Driver Wages,5030,CFS,False,QBO,False,0,2024-06-25T09:00:00-07:00
4007,Driver Leasing Program,Driver Leasing Program,SVC-DRIVE,Service,Driver Leasing Program,True,True,1034,Revenue - Dedicated Fleet,4010,1047,COGS - Driver Wages,5030,CFS,False,QBO,False,0,2024-06-25T09:00:00-07:00
4008,LTL Consolidation - Lane Program,LTL Consolidation - Lane Program,LTL-CON-LN,Service,LTL Consolidation - Lane Program,True,True,1035,Revenue - LTL Consolidation,4020,1044,COGS - Purchased Transportation,5000,MLG,False,QBO,False,0,2024-06-25T09:00:00-07:00
4009,Cross-Dock Handling,Cross-Dock Handling,SVC-CROSS,Service,Cross-Dock Handling,True,True,1035,Revenue - LTL Consolidation,4020,1048,COGS - Warehouse Labor,5040,APX,False,QBO,False,0,2024-06-25T09:00:00-07:00
4010,Warehousing - Pallet Positions,Warehousing - Pallet Positions,WHS-STOR-PAL,Service,Warehousing - Pallet Positions,True,True,1036,Revenue - Warehousing & Storage,4030,1048,COGS - Warehouse Labor,5040,APX,False,QBO,False,0,2024-06-25T09:00:00-07:00
