Id,DisplayName,CompanyName,GivenName,FamilyName,PrimaryEmailAddr_Address,PrimaryPhone_FreeFormNumber,BillAddr_Line1,BillAddr_City,BillAddr_Country,DefaultExpenseAccountNum,DefaultExpenseAccountName,Terms,CurrencyRef_value,CurrencyRef_name,Vendor1099,Balance,Active,domain,sparse,SyncToken,MetaData_CreateTime
3000,Fuel Express Suppliers,Fuel Express Suppliers,Hassan,Moreau,ap@fuelexpresssuppliers.com,+1-714-339-2012,"6638 Birch Pl, Unit 106",Dallas,USA,5020,COGS - Fuel,Net 45,USD,US Dollar,False,0,True,QBO,False,0,2024-06-22T09:00:00-07:00
3001,Fuel Express Supplier's,Fuel Express Supplier's,Helena,Delacroix,ap@fuelexpresssuppliers.com,+1-632-981-9626,"3915 Industrial Way, Unit 151",Denver,USA,5020,COGS - Fuel,Net 15,USD,US Dollar,False,0,True,QBO,False,0,2024-06-22T09:00:00-07:00
3002,FUEL EXPRESS SUPPLIERS INC,FUEL EXPRESS SUPPLIERS INC,Aisha,Delacroix,ap@fuelexpresssuppliersinc.com,+1-870-329-6356,"4742 Havenstraat, Unit 235",Chicago,USA,5020,COGS - Fuel,Net 30,USD,US Dollar,False,0,True,QBO,False,0,2024-06-22T09:00:00-07:00
3003,Ridgeway Carrier Network,Ridgeway Carrier Network,Tomas,Ashworth,ap@ridgewaycarriernetwork.com,+1-475-631-3413,"1358 Havenstraat, Unit 239",Louisville,USA,5000,COGS - Purchased Transportation,Net 30,USD,US Dollar,False,0,True,QBO,False,0,2024-06-22T09:00:00-07:00
3004,Trans-Atlantic Line Haul BV,Trans-Atlantic Line Haul BV,Priya,Moreau,ap@trans-atlanticlinehaulbv.com,+31-44-2142381,"1886 Fleet Rd, Unit 114",Milan,NLD,5000,COGS - Purchased Transportation,Net 30,EUR,Euro,False,0,True,QBO,False,0,2024-06-22T09:00:00-07:00
3005,Sentinel Freight Partners,Sentinel Freight Partners,Victor,Nowak,ap@sentinelfreightpartners.com,+1-364-795-6420,"3623 Industrial Way, Unit 131",Denver,USA,5000,COGS - Purchased Transportation,Net 15,USD,US Dollar,False,0,True,QBO,False,0,2024-06-22T09:00:00-07:00
3006,Keystone Owner Operators LLC,Keystone Owner Operators LLC,Rachel,Sandoval,ap@keystoneowneroperatorsllc.com,+1-977-475-6274,"8347 Havenstraat, Unit 150",Louisville,USA,5010,COGS - Owner Operator Settlements,Net 30,USD,US Dollar,True,0,True,QBO,False,0,2024-06-22T09:00:00-07:00
3007,Apex Staffing Solutions,Apex Staffing Solutions,Helena,Lindqvist,ap@apexstaffingsolutions.com,+1-548-860-1895,"8861 Industrial Way, Unit 285",Newark,USA,5050,COGS - Temp & Contract Labor,Net 30,USD,US Dollar,True,0,True,QBO,False,0,2024-06-22T09:00:00-07:00
3008,Apex Staffing Solution,Apex Staffing Solution,Bianca,Nowak,ap@apexstaffingsolution.com,+1-709-786-8169,"6632 Havenstraat, Unit 170",Denver,USA,5050,COGS - Temp & Contract Labor,Net 15,USD,US Dollar,True,0,True,QBO,False,0,2024-06-22T09:00:00-07:00
3009,Penske Equipment Leasing,Penske Equipment Leasing,Fatima,Bergstrom,ap@penskeequipmentleasing.com,+1-366-495-8459,"1229 Fleet Rd, Unit 83",Phoenix,USA,5060,COGS - Equipment Lease & Rental,Net 45,USD,US Dollar,False,0,True,QBO,False,0,2024-06-22T09:00:00-07:00
3010,MidState Truck Repair,MidState Truck Repair,Naomi,Marchetti,ap@midstatetruckrepair.com,+1-986-916-7859,"577 Birch Pl, Unit 241",Louisville,USA,5070,COGS - Maintenance & Repairs,Net 30,USD,US Dollar,False,0,True,QBO,False,0,2024-06-22T09:00:00-07:00
3011,StateLine Toll Authority,StateLine Toll Authority,Priya,Ashworth,ap@statelinetollauthority.com,+1-309-322-7216,"3111 Birch Pl, Unit 67",Memphis,USA,5080,"COGS - Tolls, Permits & Fees",Net 30,USD,US Dollar,False,0,True,QBO,False,0,2024-06-22T09:00:00-07:00
3012,Cargo Claims Adjusters Inc,Cargo Claims Adjusters Inc,Angela,Nowak,ap@cargoclaimsadjustersinc.com,+1-857-272-9257,"5110 Birch Pl, Unit 192",Charlotte,USA,5090,COGS - Cargo Claims & Damages,Net 30,USD,US Dollar,False,0,True,QBO,False,0,2024-06-22T09:00:00-07:00
3013,Meridian Customs Brokers,Meridian Customs Brokers,Hassan,Vasquez,ap@meridiancustomsbrokers.com,+1-431-555-2330,"2388 Depot St, Unit 251",Louisville,USA,5110,COGS - Customs Duties & Brokerage,Net 45,USD,US Dollar,False,0,True,QBO,False,0,2024-06-22T09:00:00-07:00
3014,Warehouse Temps Direct,Warehouse Temps Direct,Angela,Whitfield,ap@warehousetempsdirect.com,+1-865-362-7474,"8477 Havenstraat, Unit 122",Dallas,USA,5040,COGS - Warehouse Labor,Net 15,USD,US Dollar,False,0,True,QBO,False,0,2024-06-22T09:00:00-07:00
3015,Sterling Property Holdings,Sterling Property Holdings,Devon,Nowak,ap@sterlingpropertyholdings.com,+1-255-205-8906,"9115 Depot St, Unit 74",Phoenix,USA,6100,Rent - Office,Net 30,USD,US Dollar,False,0,True,QBO,False,0,2024-06-22T09:00:00-07:00
3016,Gateway Industrial Parks,Gateway Industrial Parks,Fatima,Delacroix,ap@gatewayindustrialparks.com,+1-975-286-3824,"4358 Birch Pl, Unit 38",Memphis,USA,6110,Rent - Warehouse & Yard,Net 30,USD,US Dollar,False,0,True,QBO,False,0,2024-06-22T09:00:00-07:00
3017,Consolidated Power & Light,Consolidated Power & Light,Claire,Wexler,ap@consolidatedpowerandlight.com,+1-246-895-2283,"947 Havenstraat, Unit 203",Louisville,USA,6120,Utilities,Net 30,USD,US Dollar,False,0,True,QBO,False,0,2024-06-22T09:00:00-07:00
3018,Vertex Telecom,Vertex Telecom,Elliot,Delacroix,ap@vertextelecom.com,+1-968-719-6739,"7686 Havenstraat, Unit 29",Atlanta,USA,6130,Telecom & Internet,Net 30,USD,US Dollar,False,0,True,QBO,False,0,2024-06-22T09:00:00-07:00
3019,OfficeWorks Supply Co,OfficeWorks Supply Co,Elliot,Petrov,ap@officeworkssupplyco.com,+1-917-994-6570,"9399 Birch Pl, Unit 275",Denver,USA,6140,Office Supplies,Net 30,USD,US Dollar,False,0,True,QBO,False,0,2024-06-22T09:00:00-07:00
3020,Sundance Facility Services,Sundance Facility Services,Claire,Devereaux,ap@sundancefacilityservices.com,+1-757-930-5711,"4092 Birch Pl, Unit 275",Seattle,USA,6150,Repairs & Maintenance - Facilities,Net 30,USD,US Dollar,False,0,True,QBO,False,0,2024-06-22T09:00:00-07:00
3021,NetSuite Solutions Partner,NetSuite Solutions Partner,Sofia,Moreau,ap@netsuitesolutionspartner.com,+1-785-993-1520,"5311 Birch Pl, Unit 248",Phoenix,USA,6200,Software Subscriptions - SaaS,Net 30,USD,US Dollar,False,0,True,QBO,False,0,2024-06-22T09:00:00-07:00
